Manufacturer,Model,Sales_in_thousands,Year_resale_value,Price_in_thousands,Engine_size,Width,Length
Acura,Integra,16.919,16.36,21.5,1.8,67.3,172.4
Acura,TL,39.384,19.875,28.4,3.2,70.3,192.9
Acura,CL,14.114,18.225,23.1,3.2,70.6,192
Acura,RL,8.588,29.725,42,3.5,71.4,196.6
Audi,A4,20.397,22.255,23.99,1.8,68.2,178
Audi,A6,18.78,23.555,33.95,2.8,76.1,192
Audi,A8,1.38,39,62,4.2,74,198.2
BMW,323i,19.747,23.1614,26.99,2.5,68.4,176
BMW,328i,9.231,28.675,33.4,2.8,68.5,176
BMW,528i,17.527,36.125,38.9,2.8,70.9,188
Buick,Century,91.561,12.475,21.975,3.1,72.7,194.6
Buick,Regal,39.35,13.74,25.3,3.8,72.7,196.2
Buick,Park Avenue,27.851,20.19,31.965,3.8,74.7,206.8
Buick,LeSabre,83.257,13.36,27.885,3.8,73.5,200
Cadillac,DeVille,63.729,22.525,39.895,4.6,74.5,207.2
Cadillac,Seville,15.943,27.1,44.475,4.6,75,201
Cadillac,Eldorado,6.536,25.725,39.665,4.6,75.5,200.6
Cadillac,Catera,11.185,18.225,31.01,3,70.3,194.8
Cadillac,Escalade,14.785,16.14,46.225,5.7,77,201.2
Chevrolet,Cavalier,145.519,9.25,13.26,2.2,67.9,180.9
Chevrolet,Malibu,135.126,11.225,16.535,3.1,69.4,190.4
Chevrolet,Lumina,24.629,10.31,18.89,3.1,72.5,200.9
Chevrolet,Monte Carlo,42.593,11.525,19.39,3.4,72.7,197.9
Chevrolet,Camaro,26.402,13.025,24.34,3.8,74.1,193.2
Chevrolet,Corvette,17.947,36.225,45.705,5.7,73.6,179.7
Chevrolet,Prizm,32.299,9.125,13.96,1.8,66.7,174.3
Chevrolet,Metro,21.855,5.16,9.235,1,62.6,149.4
Chevrolet,Impala,107.995,14.16,18.89,3.4,73,200
Chrysler,Sebring Coupe,7.854,12.36,19.84,2.5,69.7,190.9
Chrysler,Sebring Conv.,32.775,14.18,24.495,2.5,69.2,193
Chrysler,Concorde,31.148,13.725,22.245,2.7,74.4,209.1
Chrysler,Cirrus,32.306,12.64,16.48,2,71,186
Chrysler,LHS,13.462,17.325,28.34,3.5,74.4,207.7
Chrysler,Town & Country,53.48,19.54,23.14,3,49.7,231.6
Chrysler,300M,30.696,23.14,29.185,3.5,74.4,197.8
Dodge,Neon,76.034,7.75,12.64,2,74.4,174.4
Dodge,Avenger,4.734,12.545,19.045,2.5,69.1,190.2
Dodge,Stratus,71.186,10.185,20.23,2.5,71,186
Dodge,Intrepid,88.028,12.275,22.505,2.7,74.7,203.7
Dodge,Viper,0.916,58.47,69.725,8,75.7,176.7
Dodge,Ram Pickup,227.061,15.06,19.46,5.2,79.3,224.2
Dodge,Ram Wagon,16.767,15.51,21.315,3.9,78.8,192.6
Dodge,Ram Van,31.038,13.425,18.575,3.9,78.8,208.5
Dodge,Dakota,111.313,11.26,16.98,2.5,71.5,215
Dodge,Durango,101.323,16.14,26.31,5.2,71.7,193.5
Dodge,Caravan,181.749,12.025,19.565,2.4,76.8,186.3
Ford,Escort,70.227,7.425,12.07,2,67,174.7
Ford,Mustang,113.369,12.76,21.56,3.8,73.1,183.2
Ford,Contour,35.068,8.835,17.035,2.5,69.1,184.6
